event_id,customer_id,event_type,event_timestamp,session_id,device,page
EVT_00000001,CUST_00168,page_view,2024-04-13 12:51:14,SESS_004254,tablet,explore/wp-content/categories
EVT_00000002,CUST_00777,product_view,2023-03-29 07:26:18,SESS_004839,tablet,blog/category/tags
EVT_00000003,CUST_00935,page_view,2023-12-27 16:44:27,SESS_005837,tablet,wp-content/search/tag
EVT_00000004,CUST_01366,add_to_cart,2023-07-21 06:59:04,SESS_001158,tablet,categories
EVT_00000005,CUST_00534,purchase,2024-06-08 15:24:53,SESS_014276,desktop,main/posts
EVT_00000006,CUST_01317,page_view,2023-10-16 08:31:11,SESS_008095,desktop,list/wp-content
EVT_00000007,CUST_00196,wishlist_add,2023-10-02 11:13:52,SESS_006948,desktop,explore/categories/posts
EVT_00000008,CUST_01312,checkout_start,2024-06-15 11:49:24,SESS_011780,desktop,app/app/blog
EVT_00000009,CUST_01826,page_view,2024-04-08 19:52:16,SESS_005841,mobile,posts/tag
EVT_00000010,CUST_00208,page_view,2023-09-28 15:09:19,SESS_004068,desktop,wp-content
EVT_00000011,CUST_00847,page_view,2023-10-12 01:05:21,SESS_009262,mobile,app/list
EVT_00000012,CUST_00619,add_to_cart,2023-06-21 16:17:01,SESS_005329,desktop,tag/wp-content
EVT_00000013,CUST_00223,product_view,2023-09-14 21:01:20,SESS_008715,mobile,search/wp-content
EVT_00000014,CUST_01444,search,2023-05-01 06:50:51,SESS_003501,mobile,list
EVT_00000015,CUST_01685,wishlist_add,2024-04-06 07:32:31,SESS_007979,desktop,main
EVT_00000016,CUST_00701,add_to_cart,2023-01-29 05:31:52,SESS_007332,desktop,tag/explore/posts
EVT_00000017,CUST_01373,checkout_start,2023-10-10 18:02:17,SESS_001373,mobile,main/categories/app
EVT_00000018,CUST_01157,search,2023-08-01 04:05:46,SESS_011197,mobile,tag/app/posts
EVT_00000019,CUST_01585,search,2023-06-28 18:11:14,SESS_004232,mobile,search
EVT_00000020,CUST_00783,product_view,2023-08-31 12:55:52,SESS_009503,desktop,tags/search
EVT_00000021,CUST_01500,checkout_start,2024-03-27 15:00:08,SESS_003354,tablet,wp-content
EVT_00000022,CUST_00307,product_view,2024-04-01 00:01:36,SESS_002704,tablet,list/category/category
EVT_00000023,CUST_01654,page_view,2023-03-20 09:19:04,SESS_009756,mobile,app
EVT_00000024,CUST_01958,page_view,2024-01-03 17:32:44,SESS_005552,tablet,blog
EVT_00000025,CUST_01348,page_view,2024-05-21 12:05:15,SESS_000782,tablet,category
EVT_00000026,CUST_00173,checkout_start,2023-06-24 12:32:00,SESS_001316,tablet,tag
EVT_00000027,CUST_01410,add_to_cart,2023-10-31 12:47:10,SESS_006911,desktop,list/categories/posts
EVT_00000028,CUST_00541,purchase,2024-06-19 19:18:12,SESS_004319,desktop,explore
EVT_00000029,CUST_00895,purchase,2024-02-12 03:16:59,SESS_007380,mobile,search/posts/app
EVT_00000030,CUST_00007,product_view,2023-04-12 20:54:45,SESS_008715,mobile,category
EVT_00000031,CUST_00828,add_to_cart,2023-03-17 10:37:35,SESS_004113,mobile,tags/categories
EVT_00000032,CUST_01124,wishlist_add,2024-05-30 02:16:45,SESS_006454,tablet,category
EVT_00000033,CUST_01930,search,2024-01-22 21:23:59,SESS_001346,tablet,category/list
EVT_00000034,CUST_01406,page_view,2023-12-29 16:21:38,SESS_001867,desktop,main/app
