order_id,customer_id,order_date,category,quantity,unit_price,total_amount,status,payment_method
ORD_0000001,CUST_00644,2024-06-06,Apparel,1,73.11,73.11,completed,card
ORD_0000002,CUST_01152,2024-03-13,Electronics,1,51.45,51.45,completed,netbanking
ORD_0000003,CUST_01979,2023-10-12,Beauty,4,488.77,1955.08,completed,netbanking
ORD_0000004,CUST_00095,2024-06-28,Books,3,332.98,998.94,completed,wallet
ORD_0000005,CUST_01424,2024-01-14,Home & Kitchen,5,456.27,2281.35,completed,upi
ORD_0000006,CUST_01409,2023-04-04,Apparel,1,126.17,126.17,completed,upi
ORD_0000007,CUST_01961,2023-12-11,Sports,5,280.5,1402.5,completed,upi
ORD_0000008,CUST_01494,2024-06-26,Home & Kitchen,4,46.43,185.72,completed,upi
ORD_0000009,CUST_00820,2024-05-10,Beauty,1,472.91,472.91,completed,upi
ORD_0000010,CUST_01098,2023-08-09,Home & Kitchen,1,318.48,318.48,cancelled,upi
ORD_0000011,CUST_01464,2024-01-17,Sports,5,332.08,1660.4,completed,wallet
ORD_0000012,CUST_01683,2024-05-16,Books,3,496.29,1488.87,completed,upi
ORD_0000013,CUST_00159,2024-05-04,Beauty,1,270.41,270.41,completed,card
ORD_0000014,CUST_00675,2024-05-06,Home & Kitchen,1,187.77,187.77,completed,upi
ORD_0000015,CUST_01780,2023-11-26,Books,3,14.82,44.46,cancelled,upi
ORD_0000016,CUST_00776,2023-11-29,Beauty,1,96.1,96.1,returned,wallet
ORD_0000017,CUST_00196,2024-03-30,Home & Kitchen,3,353.21,1059.63,completed,card
ORD_0000018,CUST_01837,2024-01-04,Books,2,165.81,331.62,completed,wallet
ORD_0000019,CUST_00977,2024-04-02,Sports,3,14.64,43.92,completed,upi
ORD_0000020,CUST_00293,2024-03-20,Electronics,5,370.35,1851.75,returned,netbanking
ORD_0000021,CUST_01449,2024-05-09,Books,5,214.93,1074.65,completed,netbanking
ORD_0000022,CUST_01636,2024-05-04,Books,5,150.53,752.65,completed,upi
ORD_0000023,CUST_00626,2024-01-12,Home & Kitchen,3,209.18,627.54,returned,card
ORD_0000024,CUST_00158,2024-05-09,Electronics,1,90.9,90.9,completed,netbanking
ORD_0000025,CUST_01135,2024-05-27,Books,1,481.45,481.45,completed,upi
ORD_0000026,CUST_00983,2024-05-13,Beauty,5,345.7,1728.5,returned,card
ORD_0000027,CUST_00831,2023-08-05,Beauty,5,103.18,515.9,completed,wallet
ORD_0000028,CUST_01439,2024-04-28,Beauty,3,129.66,388.98,completed,card
ORD_0000029,CUST_01244,2024-05-28,Sports,2,340.51,681.02,returned,upi
ORD_0000030,CUST_00154,2023-11-24,Electronics,2,261.7,523.4,completed,wallet
ORD_0000031,CUST_00350,2023-11-18,Beauty,1,175.59,175.59,completed,card
ORD_0000032,CUST_00595,2023-09-15,Apparel,4,153.83,615.32,completed,wallet
ORD_0000033,CUST_00446,2024-01-15,Electronics,5,414.6,2073.0,cancelled,wallet
ORD_0000034,CUST_00118,2024-03-08,Home & Kitchen,1,311.6,311.6,completed,card
ORD_0000035,CUST_00011,2023-11-09,Electronics,2,207.0,414.0,completed,wallet
ORD_0000036,CUST_00405,2024-03-19,Apparel,5,262.01,1310.05,completed,wallet
ORD_0000037,CUST_00015,2023-09-27,Books,3,120.78,362.34,completed,netbanking
ORD_0000038,CUST_00878,2024-06-29,Home & Kitchen,2,272.84,545.68,completed,wallet
ORD_0000039,CUST_01345,2024-06-14,Home & Kitchen,4,89.29,357.16,completed,card
ORD_0000040,CUST_00736,2024-06-22,Home & Kitchen,2,64.22,128.44,completed,wallet
ORD_0000041,CUST_00863,2024-01-30,Apparel,1,88.54,88.54,cancelled,netbanking
ORD_0000042,CUST_00244,2024-02-27,Beauty,4,279.55,1118.2,completed,netbanking
ORD_0000043,CUST_01539,2024-04-27,Beauty,5,365.73,1828.65,returned,wallet
ORD_0000044,CUST_00270,2024-05-07,Apparel,1,398.42,398.42,completed,card
ORD_0000045,CUST_01572,2023-10-24,Home & Kitchen,1,342.36,342.36,completed,card
ORD_0000046,CUST_00890,2024-06-21,Electronics,3,148.28,444.84,completed,upi
ORD_0000047,CUST_01265,2024-06-19,Home & Kitchen,5,101.55,507.75,completed,netbanking
ORD_0000048,CUST_01436,2024-03-01,Beauty,4,107.21,428.84,completed,card
ORD_0000049,CUST_01436,2024-06-08,Sports,5,98.77,493.85,completed,upi
ORD_0000050,CUST_00470,2024-06-03,Home & Kitchen,2,206.62,413.24,cancelled,upi
ORD_0000051,CUST_00874,2023-02-02,Electronics,5,107.82,539.1,completed,netbanking
ORD_0000052,CUST_01434,2024-06-01,Books,2,118.66,237.32,completed,wallet
ORD_0000053,CUST_01319,2023-05-14,Home & Kitchen,3,63.92,191.76,completed,netbanking
ORD_0000054,CUST_01458,2024-04-16,Electronics,2,166.71,333.42,completed,card
ORD_0000055,CUST_00107,2024-05-11,Books,3,113.86,341.58,completed,card
ORD_0000056,CUST_00883,2024-05-26,Home & Kitchen,3,474.67,1424.01,completed,card
ORD_0000057,CUST_00199,2024-06-22,Apparel,1,344.64,344.64,completed,netbanking
